rut_paciente,nombre_completo,fecha_nacimiento,sexo,prevision,id_atencion,fecha_atencion,tipo_atencion,codigo_cie10,codigo_minsal,dosis_prescrita,alergia_principio,id_examen,codigo_examen,resultado_valor,unidad_medida,motivo_rechazo
15200589-0,Ana Maria Gonzalez Diaz,2001-11-18,F,NINGUNA,9aa28e06-108d-4956-9dc1-9a69370626bd,2024-09-20 18:13:27,HOSPITALIZACION,J00,M005,400mg,Ninguna,fc0861f1-29a9-48e1-9472-5d162d5e386e,301001,130.04,U/L,RUT_DIGITO_INVALIDO
12105048-0,Jorge Felipe Silva Contreras,1963-01-12,M,ISAPRE,a5d86296-eaea-4c51-af1e-5acb19c5fe72,2025-02-24 18:11:24,CONSULTA,ZZZ99,MED-FALSO,200mg,Ninguna,fecf6fcf-0e52-4913-b18e-627a1e79a763,302047,48.83,mmol/L,RUT_DIGITO_INVALIDO | CODIGO_CIE10_NO_EXISTE | CODIGO_MINSAL_FORMATO_INVALIDO
9019271-0,Fernanda Sofia Silva Diaz,1960-04-26,F,ISAPRE,a932ce2d-770a-43de-b4cf-a6f08dd155b2,2024-07-25 18:13:27,PROCEDIMIENTO,A09.9,M004,300mg,Ninguna,2f2a72ea-8b72-4998-9ade-5ea94afedfb2,301045,60.69,mg/dL,RUT_DIGITO_INVALIDO
21609705-0,Jorge Felipe Martinez Martinez,1955-07-14,M,NINGUNA,d58636cc-4b5f-4cd5-9a56-e398788eb6d2,2025-08-21 18:13:27,HOSPITALIZACION,I10,M004,400mg,Ninguna,bdbe08f1-0cd6-499d-931a-600003ad9e5c,302076,51.14,U/L,RUT_DIGITO_INVALIDO
15200589-0,Ana Maria Gonzalez Diaz,2001-11-18,F,NINGUNA,77f14426-e7a8-4603-bef5-9cff1ff961c6,2025-09-10 18:13:27,HOSPITALIZACION,J00,M005,400mg,Ninguna,2578e50e-0da0-4512-a26b-04060fbffeb8,301001,130.04,U/L,RUT_DIGITO_INVALIDO
12584989-0,Isidora Camila Morales Hernandez,1969-05-10,F,ISAPRE,6a0ba6dd-9468-4164-8c6f-c2b2336a867d,2025-10-24 18:13:27,PROCEDIMIENTO,M54.5,M003,300mg,Ibuprofeno,a51954cf-0294-40e7-a1b8-6121df876df9,301004,82.84,U/L,RUT_DIGITO_INVALIDO
14971099-0,Antonia Camila Contreras Tapia,2002-11-19,F,NINGUNA,11ad7ded-5158-4571-ac3f-f650fedc6257,2026-01-06 18:11:24,URGENCIA,J00,M002,100mg,Ninguna,4e15401c-052b-4b17-a702-4b2272f1ca6a,302076,134.52,U/L,RUT_DIGITO_INVALIDO
12540538-0,Tomas Roberto Rodriguez Lopez,1991-06-13,M,DIPRECA,9cdf26ae-27f9-42e9-b8f7-4439218ebd34,2025-02-07 18:11:24,PROCEDIMIENTO,A09.9,M001,200mg,Ninguna,c28095d7-bba5-4209-9cac-87511c7dd796,301004,16.61,mmol/L,RUT_DIGITO_INVALIDO
9037267-0,Juan Felipe Gonzalez Rodriguez,1964-04-14,M,FONASA,b992bcb2-8360-42e8-961e-c077a2a08da8,2025-01-06 18:11:24,CONSULTA,I10,M003,500mg,Ninguna,4dc56b96-c3b5-401f-95c7-6ac1e2bbab49,301004,10.82,U/L,RUT_DIGITO_INVALIDO
6813630-0,Jorge Felipe Tapia Sepulveda,1969-04-29,M,ISAPRE,4e7a1539-360d-4626-9747-320fc2a4c032,2026-03-10 18:13:27,PROCEDIMIENTO,M54.5,M004,100mg,Ninguna,dce0299f-a345-422c-93ef-2b0a5d835503,301045,57.23,U/L,RUT_DIGITO_INVALIDO
22724352-0,Carlos Jorge Perez Torres,2012-10-30,M,ISAPRE,efc43b37-4731-4b5d-a951-64af0699d570,2025-07-18 18:13:27,CONSULTA,A09.9,M002,100mg,Ninguna,656dd981-b289-4acb-b534-7a0a7a1bfe6a,301001,50.91,mmol/L,RUT_DIGITO_INVALIDO
21609705-0,Jorge Felipe Martinez Martinez,1955-07-14,M,NINGUNA,04a72892-5524-4430-bc82-884cd58387ff,2023-08-29 18:11:24,HOSPITALIZACION,I10,M004,400mg,Ninguna,ba64c08e-9ee7-40a4-9d1c-09991b5bdc05,302076,51.14,U/L,RUT_DIGITO_INVALIDO
8329910-0,Ana Daniela Martinez Fuentes,1969-03-12,F,FONASA,c310b906-b1e4-4aaa-b365-2a69e474c832,2024-04-12 18:11:24,URGENCIA,K21.9,M001,500mg,Ninguna,e7f2ebc0-a005-41d2-a142-bd17e42b228b,301004,58.0,U/L,RUT_DIGITO_INVALIDO
12345678-9,Sofia Antonia Torres Gonzalez,2014-10-20,F,ISAPRE,ae55fc07-7cc7-439b-b0c8-5062ebf445b1,2026-05-12 18:13:27,CONSULTA,A09.9,M005,300mg,Ninguna,4a1da866-6e21-4d5a-b3c5-84da615b9ca3,302047,74.04,mg/dL,RUT_DIGITO_INVALIDO
12584989-0,Isidora Camila Morales Hernandez,1969-05-10,F,ISAPRE,96ac25e9-ede8-48ad-aba5-c4a62ee1561d,2024-08-29 18:11:24,PROCEDIMIENTO,M54.5,M003,300mg,Ibuprofeno,6df921be-c349-4de5-b929-85456064dd60,301004,82.84,U/L,RUT_DIGITO_INVALIDO
8142778-0,Diego Luis Morales Contreras,2010-06-04,M,ISAPRE,cd2cbc3b-d703-43a7-99ad-e86e56dfee9a,2025-08-09 18:13:27,CONSULTA,J00,M005,100mg,Ninguna,658649c1-c359-4027-806f-4b774278bd6d,302076,18.94,mg/dL,RUT_DIGITO_INVALIDO
23011319-0,Camila Javiera Contreras Morales,1991-11-25,F,NINGUNA,c93bd329-67c8-4845-8764-991b31765e43,2026-01-06 18:13:27,PROCEDIMIENTO,J00,M001,500mg,Ninguna,5fbad316-906c-48bf-8795-35d4aefe399b,302047,78.29,mmol/L,RUT_DIGITO_INVALIDO
22398049-0,Antonia Javiera Martinez Morales,1960-05-10,F,ISAPRE,02738e5e-e96b-4c23-9aa6-c5ace795813b,2025-10-24 18:11:24,URGENCIA,I10,M003,100mg,Ninguna,79bf516b-d3b0-4aad-b0ca-20b499722ae8,301004,32.44,U/L,RUT_DIGITO_INVALIDO
12540538-0,Tomas Roberto Rodriguez Lopez,1991-06-13,M,DIPRECA,986c4fd1-ef9b-4f70-8db9-ef041e911d95,2025-01-22 18:13:27,PROCEDIMIENTO,A09.9,M001,200mg,Ninguna,e9d0dd04-9bb2-4520-ba99-5c6827d72be4,301004,16.61,mmol/L,RUT_DIGITO_INVALIDO
15712725-0,Juan Juan Rojas Silva,1998-04-28,M,CAPREDENA,4a3953a4-9d4c-4ac2-9283-c5d9226f4db2,2025-12-11 18:13:27,URGENCIA,I10,M005,100mg,Ninguna,6f80b4e5-829c-4389-96f7-cc6c2fc60662,302076,59.76,mg/dL,RUT_DIGITO_INVALIDO
6813630-0,Jorge Felipe Tapia Sepulveda,1969-04-29,M,ISAPRE,c75e2f43-e164-4f91-96a3-b5bc921b4b90,2024-11-16 18:13:27,PROCEDIMIENTO,M54.5,M004,100mg,Ninguna,24871e31-88b6-4463-b026-6527a621c02e,301045,57.23,U/L,RUT_DIGITO_INVALIDO
8142778-0,Diego Luis Morales Contreras,2010-06-04,M,ISAPRE,e1531c2e-a55a-40ff-b458-4f7d4e5385e8,2024-11-11 18:13:27,CONSULTA,J00,M005,100mg,Ninguna,03213f8b-6a50-4741-a5d8-f940da8ce718,302076,18.94,mg/dL,RUT_DIGITO_INVALIDO
23011319-0,Camila Javiera Contreras Morales,1991-11-25,F,NINGUNA,7c21fd66-4487-48b3-9747-71923e0d15f3,2026-02-14 18:13:27,PROCEDIMIENTO,J00,M001,500mg,Ninguna,7f62e73e-f08a-4d5f-9acf-3255231a3b25,302047,78.29,mmol/L,RUT_DIGITO_INVALIDO
12105048-0,Jorge Felipe Silva Contreras,1963-01-12,M,ISAPRE,800d7d29-d652-4358-82a6-08017a4d5c0b,2025-07-16 18:13:27,CONSULTA,ZZZ99,MED-FALSO,200mg,Ninguna,5a552528-a409-496f-9244-a1b3e8527f18,302047,48.83,mmol/L,RUT_DIGITO_INVALIDO | CODIGO_CIE10_NO_EXISTE | CODIGO_MINSAL_FORMATO_INVALIDO
21609705-0,Jorge Felipe Martinez Martinez,1955-07-14,M,NINGUNA,acabc28b-dca0-414b-8fc4-d0981724dfc6,2024-07-16 18:13:27,HOSPITALIZACION,I10,M004,400mg,Ninguna,ca883ad1-8a06-40a9-8f6b-bea682d09330,302076,51.14,U/L,RUT_DIGITO_INVALIDO
15111296-0,Isidora Camila Fuentes Sepulveda,1965-09-22,F,NINGUNA,02ed6200-5e4f-40e9-b78d-cee9afcca6a4,2026-03-31 18:11:24,HOSPITALIZACION,I10,M005,200mg,Ninguna,23d7527e-ae2c-4864-9496-f590f41171ea,302047,64.32,mmol/L,RUT_DIGITO_INVALIDO
8329910-0,Ana Daniela Martinez Fuentes,1969-03-12,F,FONASA,314c7752-fe52-4f66-b480-042e1cfdc450,2025-05-16 18:13:27,URGENCIA,K21.9,M001,500mg,Ninguna,76fa10a7-c5af-4003-9e62-ba450d9c4214,301004,58.0,U/L,RUT_DIGITO_INVALIDO
12105048-0,Jorge Felipe Silva Contreras,1963-01-12,M,ISAPRE,50919c17-4c0d-4080-b877-a69001be97e1,2025-03-14 18:13:27,CONSULTA,ZZZ99,MED-FALSO,200mg,Ninguna,f3c6cd07-1369-428f-9cfc-eca964a193fb,302047,48.83,mmol/L,RUT_DIGITO_INVALIDO | CODIGO_CIE10_NO_EXISTE | CODIGO_MINSAL_FORMATO_INVALIDO
15200589-0,Ana Maria Gonzalez Diaz,2001-11-18,F,NINGUNA,74c7063d-eb79-4325-88d0-6f468a202e76,2024-07-11 18:13:27,HOSPITALIZACION,J00,M005,400mg,Ninguna,19a62b3b-254a-499e-b9e4-645f74245d24,301001,130.04,U/L,RUT_DIGITO_INVALIDO
8329910-0,Ana Daniela Martinez Fuentes,1969-03-12,F,FONASA,7db37260-c2ba-4b52-aeed-39373fc51535,2026-03-20 18:13:27,URGENCIA,K21.9,M001,500mg,Ninguna,ca8ff5db-d746-490f-a4e7-516362ff4274,301004,58.0,U/L,RUT_DIGITO_INVALIDO
